,stationCode,station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical,ebike
0,16107,213688169,17,17,"[{'mechanical': 3}, {'ebike': 14}]",18,18,1,1,1,1669293398,3,14
1,31104,653222953,22,22,"[{'mechanical': 7}, {'ebike': 15}]",8,8,1,1,1,1669293460,7,15
2,11104,516709288,0,0,"[{'mechanical': 0}, {'ebike': 0}]",19,19,1,1,1,1669293739,0,0
3,9020,36255,2,2,"[{'mechanical': 0}, {'ebike': 2}]",17,17,1,1,1,1669293673,0,2
4,12109,37815204,2,2,"[{'mechanical': 1}, {'ebike': 1}]",27,27,1,1,1,1669293687,1,1
5,14111,251039991,3,3,"[{'mechanical': 2}, {'ebike': 1}]",20,20,1,1,1,1669293613,2,1
6,14014,85002689,6,6,"[{'mechanical': 0}, {'ebike': 6}]",54,54,1,1,1,1669293400,0,6
7,10013,123095125,6,6,"[{'mechanical': 3}, {'ebike': 3}]",49,49,1,1,1,1669293674,3,3
8,8026,120827885,6,6,"[{'mechanical': 5}, {'ebike': 1}]",2,2,1,1,1,1669293736,5,1
9,5001,100769544,12,12,"[{'mechanical': 9}, {'ebike': 3}]",33,33,1,1,1,1669293679,9,3
10,6003,37874517,12,12,"[{'mechanical': 9}, {'ebike': 3}]",9,9,1,1,1,1669293664,9,3
11,13007,66491398,2,2,"[{'mechanical': 2}, {'ebike': 0}]",46,46,1,1,1,1669293350,2,0
12,15202,16560752067,0,0,"[{'mechanical': 0}, {'ebike': 0}]",30,30,0,0,0,1661433064,0,0
13,5110,210403080,3,3,"[{'mechanical': 1}, {'ebike': 2}]",17,17,1,1,1,1669293687,1,2
14,6108,210561800,2,2,"[{'mechanical': 0}, {'ebike': 2}]",14,14,1,1,1,1669293709,0,2
15,33006,209063434,20,20,"[{'mechanical': 18}, {'ebike': 2}]",9,9,1,1,1,1669293697,18,2
16,42016,94555589,1,1,"[{'mechanical': 1}, {'ebike': 0}]",25,25,1,1,1,1669293740,1,0
17,41301,244498842,6,6,"[{'mechanical': 5}, {'ebike': 1}]",43,43,1,1,1,1669293264,5,1
18,6021,210405211,17,17,"[{'mechanical': 8}, {'ebike': 9}]",1,1,1,1,1,1669293740,8,9
19,21010,43195240,12,12,"[{'mechanical': 8}, {'ebike': 4}]",13,13,1,1,1,1669293707,8,4
20,25006,501862076,1,1,"[{'mechanical': 0}, {'ebike': 1}]",20,20,1,1,1,1669293556,0,1
21,17026,54000559,3,3,"[{'mechanical': 3}, {'ebike': 0}]",36,36,1,1,1,1669293575,3,0
22,17038,207633746,19,19,"[{'mechanical': 4}, {'ebike': 15}]",41,41,1,1,1,1669293643,4,15
